108	37	145	24	61	55	76	98	72	61	55	67	61	69	82	136	113	137	-1 211
110	89	39	81	23	36	32	54	93	43	72	57	60	50	98	102	136	106	107 211
95	107	48	76	13	18	49	92	49	75	15	70	61	88	51	146	105	143	119 211
23	58	53	59	50	35	39	51	78	100	25	77	91	71	73	149	105	134	107 211
68	11	114	18	91	73	54	81	lO	51	55	59	64	78	86	136	134	113	111 211
94	96	70	104	80	63	82	52	73	20	16	77	68	65	250	112	125	103	75 211
41	77	109	102	50	52	87	92	99	42	100	44	62	87	200	121	106	134	51 211
81	114	85	109	67	69	55	67	95	38	21	41	97	63	242	234	247	202	70 211
56	58	143	399	81	67	72	52	84	93	89	51	74	61	221	180	248	2O8	68 211
21	62	39	118	83	67	95	95	56	96	73	71	75	81	183	211	233	208	50 211
