1O8	37	145	24	61	55	76	98	72	61	55	67	61	69	82	136	113	137	1 221
11O	89	39	81	23	36	32	54	93	43	72	57	6O	5O	98	1O2	136	1O6	1O7 221
95	1O7	48	76	13	18	49	92	49	75	15	7O	61	88	51	146	1O5	143	119 221
23	58	53	59	5O	35	39	51	78	1OO	25	77	91	71	73	149	1O5	134	1O7 221
68	11	114	18	91	73	54	81	lO	51	55	59	64	78	86	136	134	113	111 221
94	96	7O	1O4	8O	63	82	52	73	2O	16	77	68	65	25O	112	125	1O3	75 221
41	77	1O9	1O2	5O	52	87	92	99	42	1OO	44	62	87	2OO	121	1O6	134	51 221
81	114	85	1O9	67	69	55	67	95	38	21	41	97	63	242	234	247	2O2	7O 221
56	58	143	399	81	67	72	52	84	93	89	51	74	61	221	18O	248	2O8	68 221
21	62	39	118	83	67	95	95	56	96	73	71	75	81	183	211	233	2O8	5O 221
